target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q92772_WT		8:21	Number of points 29 < 30										
Q96Q40_WT		5:17	Number of points 22 < 30										
Q9UPZ9_WT		5:5	Not enough data in minority class of the training set for all 5 folds										
Q9UPZ9_WT	Fold 1	1:4		-0.4082482904638631	0.4	0.25	0.5	0.0	0.6666666666666666	0.0	0.5714285714285715	0.5	0.5
Q9UPZ9_WT	Fold 2	1:4		-0.25	0.6	0.375	0.75	0.0	0.75	0.0	0.75	0.5	0.5
Q9UPZ9_WT	Fold 3	2:3		0.6123724356957946	0.8	0.75	1.0	0.5	0.75	1.0	0.8571428571428571	0.16666666666666666	0.8333333333333333
Q9UPZ9_WT	Fold 4	2:3		0.6666666666666666	0.8	0.8333333333333333	0.6666666666666666	1.0	1.0	0.6666666666666666	0.8	0.16666666666666666	0.8333333333333333
Q9UPZ9_WT	Fold 5	2:3		0.16666666666666666	0.6	0.5833333333333333	0.6666666666666666	0.5	0.6666666666666666	0.5	0.6666666666666666	0.6666666666666666	0.3333333333333333
Q9UPZ9_WT	Mean	-		0.15749149571305293	0.64	0.5583333333333332	0.7166666666666666	0.4	0.7666666666666666	0.4333333333333333	0.729047619047619	0.4	0.6
Q9UPZ9_WT	SD	-		0.3984074616058322	0.13662601021279466	0.20069324297987157	0.14907119849998599	0.34156502553198664	0.1118033988749895	0.35486043161491804	0.09184840775733989	0.18257418583505536	0.18257418583505536
Q9UPZ9_WT	Test set	5:5		0.0	0.5	0.5	0.6	0.4	0.5	0.5	0.5454545454545454	0.64	0.36
Q8WTQ7_WT		1:26	Not enough data in minority class of the training set for all 5 folds										
Q8WTQ7_WT	Fold 1	1:6		-0.16666666666666666	0.7142857142857143	0.4166666666666667	0.8333333333333334	0.0	0.8333333333333334	0.0	0.8333333333333334	0.16666666666666666	0.8333333333333334
Q8WTQ7_WT	Fold 2	2:5		0.6454972243679028	0.8571428571428571	0.75	1.0	0.5	0.8333333333333334	1.0	0.9090909090909091	0.05	0.95
Q8WTQ7_WT	Fold 3	1:5		0.6324555320336759	0.8333333333333334	0.9	0.8	1.0	1.0	0.5	0.888888888888889	0.1	0.9
Q8WTQ7_WT	Fold 4	1:5		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.2	0.8
Q8WTQ7_WT	Fold 5	1:5		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.0	1.0
Q8WTQ7_WT	Mean	-		0.22225721794698244	0.8142857142857143	0.6133333333333334	0.9266666666666667	0.3	0.8666666666666668	0.3	0.88989898989899	0.10333333333333332	0.8966666666666667
Q8WTQ7_WT	SD	-		0.3155558824774629	0.0464133064038522	0.16594287281181147	0.0825518916489187	0.3651483716701107	0.06085806194501844	0.3651483716701107	0.026788315529853293	0.0669438681395203	0.06694386813952029
Q8WTQ7_WT	Test set	1:26		-0.09349469900084571	0.7777777777777778	0.40384615384615385	0.8076923076923077	0.0	0.9545454545454546	0.0	0.875	0.6153846153846154	0.38461538461538464
P36888_R834Q		19:15	No test data for temporal split at 2013										
Q8TF76_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
Q8TF76_WT	Fold 1	2:3		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q8TF76_WT	Fold 2	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.3333333333333333	0.6666666666666666
Q8TF76_WT	Fold 3	1:3		0.3333333333333333	0.5	0.6666666666666666	0.3333333333333333	1.0	1.0	0.3333333333333333	0.5	0.16666666666666666	0.8333333333333333
Q8TF76_WT	Fold 4	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.0	1.0
Q8TF76_WT	Fold 5	2:2		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.75	0.25
Q8TF76_WT	Mean	-		0.38213672050459185	0.7	0.6833333333333333	0.8666666666666668	0.5	0.7833333333333333	0.4666666666666666	0.7647619047619048	0.25	0.75
Q8TF76_WT	SD	-		0.345036732019076	0.17078251276599332	0.16942167424418786	0.24343224778007383	0.408248290463863	0.17743021580745902	0.4127594582445936	0.15536755727423782	0.2545875386086578	0.2545875386086578
Q8TF76_WT	Test set	8:2		0.6666666666666666	0.9	0.75	0.5	1.0	1.0	0.8888888888888888	0.6666666666666666	0.21875	0.78125
Q15835_WT		4:20	Not enough data in minority class of the training set for all 5 folds										
O43318_WT	Fold 1	3:6		-0.3779644730092272	0.4444444444444444	0.3333333333333333	0.6666666666666666	0.0	0.5714285714285714	0.0	0.6153846153846153	0.7777777777777779	0.2222222222222222
O43318_WT	Fold 2	3:6		0.7559289460184544	0.8888888888888888	0.8333333333333333	1.0	0.6666666666666666	0.8571428571428571	1.0	0.923076923076923	0.11111111111111112	0.888888888888889
O43318_WT	Fold 3	3:5		0.4666666666666667	0.75	0.7333333333333334	0.8	0.6666666666666666	0.8	0.6666666666666666	0.8000000000000002	0.30000000000000004	0.7000000000000001
O43318_WT	Fold 4	3:5		-0.29277002188455997	0.5	0.4	0.8	0.0	0.5714285714285714	0.0	0.6666666666666666	0.6666666666666667	0.33333333333333337
O43318_WT	Fold 5	3:5		-0.2581988897471611	0.375	0.3666666666666667	0.4	0.3333333333333333	0.5	0.25	0.4444444444444445	0.4666666666666667	0.5333333333333334
O43318_WT	Mean	-		0.058732445608834574	0.5916666666666666	0.5333333333333333	0.7333333333333333	0.3333333333333333	0.6599999999999999	0.3833333333333333	0.68991452991453	0.4644444444444445	0.5355555555555556
O43318_WT	SD	-		0.4217418135163722	0.1781535380720013	0.18954135676924422	0.18053418676968802	0.2721655269759087	0.1289412670177242	0.3587529842436209	0.14879193889190376	0.22021314029933325	0.22021314029933325
O43318_WT	Test set	68:80		0.12713974432223124	0.5743243243243243	0.5477941176470589	0.875	0.22058823529411764	0.5691056910569106	0.6	0.689655172413793	0.4740808823529412	0.5259191176470588
P35626_WT		6:0	Only one activity class in traing set for temporal split at 2013										
Q9Y2K2_WT	Fold 1	1:4		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.25	0.75
Q9Y2K2_WT	Fold 2	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.0	1.0
Q9Y2K2_WT	Fold 3	2:3		0.6123724356957946	0.8	0.75	1.0	0.5	0.75	1.0	0.8571428571428571	0.3333333333333333	0.6666666666666666
Q9Y2K2_WT	Fold 4	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.0	1.0
Q9Y2K2_WT	Fold 5	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.3333333333333333	0.6666666666666666
Q9Y2K2_WT	Mean	-		0.24494897427831783	0.78	0.625	0.95	0.3	0.8099999999999999	0.3	0.8634920634920634	0.1833333333333333	0.8166666666666667
Q9Y2K2_WT	SD	-		0.27386127875258304	0.022360679774997918	0.14433756729740643	0.09128709291752769	0.3651483716701107	0.08850612031567835	0.3651483716701107	0.011592011799051175	0.13944333775567924	0.13944333775567927
Q9Y2K2_WT	Test set	8:13		0.2850438562747845	0.6666666666666666	0.5625	1.0	0.125	0.65	1.0	0.787878787878788	0.38461538461538464	0.6153846153846154
Q8IYT8_WT		7:1	Not enough data in minority class of the training set for all 5 folds										
Q8IYT8_WT	Fold 1	3:4		0.4166666666666667	0.7142857142857143	0.7083333333333333	0.75	0.6666666666666666	0.75	0.6666666666666666	0.75	0.41666666666666663	0.5833333333333334
Q8IYT8_WT	Fold 2	2:4		0.5	0.6666666666666666	0.75	0.5	1.0	1.0	0.5	0.6666666666666666	0.25	0.75
Q8IYT8_WT	Fold 3	2:4		0.25	0.6666666666666666	0.625	0.75	0.5	0.75	0.5	0.75	0.25	0.75
Q8IYT8_WT	Fold 4	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.0	1.0
Q8IYT8_WT	Fold 5	3:3		0.4472135954999579	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	0.6	1.0	0.7499999999999999	0.4444444444444445	0.5555555555555556
Q8IYT8_WT	Mean	-		0.3227760524333249	0.6761904761904761	0.6499999999999999	0.8	0.5	0.7533333333333333	0.5333333333333333	0.7433333333333334	0.27222222222222225	0.7277777777777779
Q8IYT8_WT	SD	-		0.1659262943743941	0.01738801769857672	0.07832151211039824	0.1707825127659933	0.3042903097250923	0.123753039618487	0.2950204010522612	0.03920506392083858	0.14469351744901893	0.14469351744901893
Q8IYT8_WT	Test set	7:1		0.14285714285714285	0.25	0.5714285714285714	1.0	0.14285714285714285	0.14285714285714285	1.0	0.25	0.6428571428571428	0.35714285714285715
O75385_WT	Fold 1	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.0	1.0
O75385_WT	Fold 2	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.25	0.75
O75385_WT	Fold 3	2:3		0.6123724356957946	0.8	0.75	1.0	0.5	0.75	1.0	0.8571428571428571	0.0	1.0
O75385_WT	Fold 4	2:3		0.6666666666666666	0.8	0.8333333333333333	0.6666666666666666	1.0	1.0	0.6666666666666666	0.8	0.3333333333333333	0.6666666666666666
O75385_WT	Fold 5	2:3		0.16666666666666666	0.6	0.5833333333333333	0.6666666666666666	0.5	0.6666666666666666	0.5	0.6666666666666666	0.16666666666666666	0.8333333333333333
O75385_WT	Mean	-		0.4116156409449845	0.7333333333333333	0.7083333333333333	0.8166666666666667	0.6	0.8166666666666667	0.5333333333333333	0.7961904761904761	0.14999999999999997	0.85
O75385_WT	SD	-		0.2500283460161635	0.07698003589195014	0.13176156917368248	0.13944333775567927	0.34156502553198664	0.13944333775567927	0.2950204010522612	0.06355552384123021	0.12171612389003691	0.12171612389003693
O75385_WT	Test set	23:24		0.008141120112822952	0.5106382978723404	0.5027173913043478	0.875	0.13043478260869565	0.5121951219512195	0.5	0.6461538461538462	0.5751811594202899	0.42481884057971014
Q9Y572_WT		15:45	Not enough training data for temporal split at 2013										
Q9BYP7_WT		1:2	Number of points 3 < 30										
Q9P2K8_WT		6:4	Not enough data in minority class of the training set for all 5 folds										
Q9NZJ5_WT		38:4	Not enough data in minority class of the training set for all 5 folds										
Q9NZJ5_WT	Fold 1	2:22		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 2	1:23		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 3	1:23		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 4	1:23		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 5	1:22		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Mean	-		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	SD	-		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9NZJ5_WT	Test set	38:4		0.18136906252750293	0.3333333333333333	0.631578947368421	1.0	0.2631578947368421	0.125	1.0	0.2222222222222222	0.27631578947368424	0.7236842105263158
Q9Y478_WT		9:32	Not enough training data for temporal split at 2013										
Q9BQI3_WT		4:12	Not enough data in minority class of the training set for all 5 folds										
Q9BQI3_WT	Fold 1	2:5		0.6454972243679028	0.8571428571428571	0.75	1.0	0.5	0.8333333333333334	1.0	0.9090909090909091	0.0	1.0
Q9BQI3_WT	Fold 2	3:4		-0.16666666666666666	0.42857142857142855	0.41666666666666663	0.5	0.3333333333333333	0.5	0.3333333333333333	0.5	0.4166666666666667	0.5833333333333333
Q9BQI3_WT	Fold 3	3:4		0.09128709291752768	0.5714285714285714	0.5416666666666666	0.75	0.3333333333333333	0.6	0.5	0.6666666666666665	0.25	0.75
Q9BQI3_WT	Fold 4	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.75	0.25
Q9BQI3_WT	Fold 5	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.6875	0.3125
Q9BQI3_WT	Mean	-		0.05077797692038518	0.6047619047619047	0.5166666666666666	0.8	0.2333333333333333	0.64	0.36666666666666664	0.7084848484848485	0.4208333333333334	0.5791666666666666
Q9BQI3_WT	SD	-		0.2999682658430004	0.13580475959496785	0.11931517552730296	0.17078251276599332	0.18257418583505536	0.10073801739238346	0.3388433484883757	0.12621494049017523	0.2535625790243534	0.2535625790243534
Q9BQI3_WT	Test set	4:12		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.0625	0.9375
P54619_WT		4:19	Number of points 23 < 30										
O00238_WT	Fold 1	2:5		0.0	0.7142857142857143	0.5	1.0	0.0	0.7142857142857143	0.0	0.8333333333333333	0.4	0.6000000000000001
O00238_WT	Fold 2	2:5		-0.4	0.42857142857142855	0.3	0.6	0.0	0.6	0.0	0.6	0.5	0.5
O00238_WT	Fold 3	1:5		-0.2	0.6666666666666666	0.4	0.8	0.0	0.8	0.0	0.8000000000000002	0.8	0.2
O00238_WT	Fold 4	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.375	0.625
O00238_WT	Fold 5	2:4		-0.5	0.3333333333333333	0.25	0.5	0.0	0.5	0.0	0.5	1.0	0.0
O00238_WT	Mean	-		-0.09350889359326484	0.5952380952380952	0.44000000000000006	0.78	0.1	0.6828571428571429	0.2	0.7244444444444444	0.615	0.385
O00238_WT	SD	-		0.3665788760268876	0.16947743257192557	0.16176114078067905	0.18618986725025255	0.18257418583505539	0.10703168835875278	0.36514837167011077	0.13568906600660519	0.22342038104583625	0.22342038104583625
O00238_WT	Test set	16:10		0.25617376914899	0.6153846153846154	0.63125	0.7	0.5625	0.5	0.75	0.5833333333333334	0.35000000000000003	0.65
Q9UL54_WT		4:26	Not enough data in minority class of the training set for all 5 folds										
Q9H2K8_WT		1:17	Not enough data in minority class of the training set for all 5 folds										
Q9H2K8_WT	Fold 1	10:8		0.48416483186574427	0.7222222222222222	0.7375	0.875	0.6	0.6363636363636364	0.8571428571428571	0.7368421052631579	0.2875	0.7125
Q9H2K8_WT	Fold 2	10:8		0.125	0.5555555555555556	0.5625	0.625	0.5	0.5	0.625	0.5555555555555556	0.32499999999999996	0.675
Q9H2K8_WT	Fold 3	10:8		0.4437601569801833	0.7222222222222222	0.7	0.5	0.9	0.8	0.6923076923076923	0.6153846153846154	0.425	0.575
Q9H2K8_WT	Fold 4	10:8		0.15811388300841897	0.5555555555555556	0.575	0.75	0.4	0.5	0.6666666666666666	0.6	0.41250000000000003	0.5874999999999999
Q9H2K8_WT	Fold 5	10:8		0.4437601569801833	0.7222222222222222	0.7	0.5	0.9	0.8	0.6923076923076923	0.6153846153846154	0.1625	0.8375
Q9H2K8_WT	Mean	-		0.330959805766906	0.6555555555555556	0.655	0.65	0.6599999999999999	0.6472727272727272	0.7066849816849816	0.6246333783175888	0.3225	0.6775
Q9H2K8_WT	SD	-		0.14213536569962548	0.07453559924999298	0.0655902685871413	0.13307266185559427	0.1879716290649558	0.12257566393224127	0.07225520391496043	0.054985492873433274	0.08702250666733674	0.08702250666733677
Q9H2K8_WT	Test set	1:17		-0.19347649748797374	0.5555555555555556	0.29411764705882354	0.5882352941176471	0.0	0.9090909090909091	0.0	0.7142857142857143	0.7058823529411765	0.29411764705882354
P67870_WT		10:44	Not enough training data for temporal split at 2013										
Q86Z02_WT	Fold 1	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.2777777777777778	0.7222222222222222
Q86Z02_WT	Fold 2	2:9		0.3888888888888889	0.8181818181818182	0.6944444444444444	0.8888888888888888	0.5	0.8888888888888888	0.5	0.8888888888888888	0.4444444444444444	0.5555555555555556
Q86Z02_WT	Fold 3	2:8		-0.25	0.6	0.375	0.75	0.0	0.75	0.0	0.75	0.375	0.625
Q86Z02_WT	Fold 4	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.5625	0.4375
Q86Z02_WT	Fold 5	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.5	0.5
Q86Z02_WT	Mean	-		0.16194185642776518	0.7854545454545454	0.5638888888888889	0.9277777777777778	0.2	0.8277777777777777	0.3	0.8728070175438596	0.43194444444444446	0.5680555555555555
Q86Z02_WT	SD	-		0.29793979917227126	0.0923521825396385	0.12617758078598637	0.09015304773805989	0.22360679774997896	0.05250906251391786	0.3651483716701107	0.05974507819211273	0.09022434316062064	0.09022434316062064
Q86Z02_WT	Test set	17:57		-0.06391835696140068	0.7567567567567568	0.49122807017543857	0.9824561403508771	0.0	0.7671232876712328	0.0	0.8615384615384616	0.7487100103199174	0.25128998968008254
P41279_WT	Fold 1	14:9		0.5380770594253792	0.782608695652174	0.7420634920634921	0.5555555555555556	0.9285714285714286	0.8333333333333334	0.7647058823529411	0.6666666666666667	0.11507936507936507	0.8849206349206349
P41279_WT	Fold 2	14:9		0.6349206349206349	0.8260869565217391	0.8174603174603174	0.7777777777777778	0.8571428571428571	0.7777777777777778	0.8571428571428571	0.7777777777777778	0.06349206349206349	0.9365079365079365
P41279_WT	Fold 3	14:9		0.6349206349206349	0.8260869565217391	0.8174603174603174	0.7777777777777778	0.8571428571428571	0.7777777777777778	0.8571428571428571	0.7777777777777778	0.07936507936507939	0.9206349206349206
P41279_WT	Fold 4	13:9		0.42404337020260063	0.7272727272727273	0.7008547008547008	0.5555555555555556	0.8461538461538461	0.7142857142857143	0.7333333333333333	0.6250000000000001	0.3418803418803419	0.6581196581196582
P41279_WT	Fold 5	14:8		0.9085135251589959	0.9545454545454546	0.9642857142857143	1.0	0.9285714285714286	0.8888888888888888	1.0	0.9411764705882353	0.0	1.0
P41279_WT	Mean	-		0.6280950449256492	0.8233201581027668	0.8084249084249084	0.7333333333333334	0.8835164835164836	0.7984126984126985	0.8424649859943978	0.7576797385620916	0.11996336996336995	0.8800366300366301
P41279_WT	SD	-		0.146326134077698	0.06845670276090696	0.08208842303135172	0.15180667801421627	0.03378115637129541	0.0537499475098425	0.08485709187835044	0.10030470685670041	0.1068483627355086	0.10684836273550857
P41279_WT	Test set	15:12		0.0	0.4444444444444444	0.5	1.0	0.0	0.4444444444444444	0.0	0.6153846153846153	0.41388888888888886	0.5861111111111111
P22612_WT		4:86	Not enough data in minority class of the training set for all 5 folds										
Q96BR1_WT		3:15	Not enough data in minority class of the training set for all 5 folds										
Q96BR1_WT	Fold 1	2:2		0.5773502691896258	0.75	0.75	1.0	0.5	0.6666666666666666	1.0	0.8	0.5	0.5
Q96BR1_WT	Fold 2	1:2		0.0	0.3333333333333333	0.5	0.0	1.0	0.0	0.3333333333333333	0.0	0.0	1.0
Q96BR1_WT	Fold 3	1:2		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.5	0.5
Q96BR1_WT	Fold 4	1:2		-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q96BR1_WT	Fold 5	1:2		0.0	0.3333333333333333	0.5	0.0	1.0	0.0	0.3333333333333333	0.0	0.5	0.5
Q96BR1_WT	Mean	-		-0.08452994616207483	0.4166666666666667	0.45	0.4	0.5	0.26666666666666666	0.3333333333333333	0.32	0.5	0.5
Q96BR1_WT	SD	-		0.4650460146305447	0.24532669073132907	0.22360679774997896	0.4472135954999579	0.408248290463863	0.29814239699997197	0.33333333333333337	0.3577708763999664	0.28867513459481287	0.28867513459481287
Q96BR1_WT	Test set	3:15		-0.15811388300841897	0.7222222222222222	0.43333333333333335	0.8666666666666667	0.0	0.8125	0.0	0.8387096774193549	0.4444444444444445	0.5555555555555556
Q00534_WT		4:12	Not enough data in minority class of the training set for all 5 folds										
Q99558_WT		78:37	Not enough training data for temporal split at 2013										
P05771_WT	Fold 1	23:26		0.6724387801454332	0.8163265306122449	0.8043478260869565	1.0	0.6086956521739131	0.7428571428571429	1.0	0.8524590163934427	0.08528428093645485	0.9147157190635452
P05771_WT	Fold 2	22:27		0.5888292511776803	0.7959183673469388	0.7853535353535352	0.8888888888888888	0.6818181818181818	0.7741935483870968	0.8333333333333334	0.8275862068965517	0.11616161616161615	0.8838383838383839
P05771_WT	Fold 3	22:27		0.7667828407785653	0.8775510204081632	0.8846801346801347	0.8148148148148148	0.9545454545454546	0.9565217391304348	0.8076923076923077	0.8800000000000001	0.05050505050505048	0.9494949494949495
P05771_WT	Fold 4	22:27		0.9175084175084175	0.9591836734693877	0.9587542087542087	0.9629629629629629	0.9545454545454546	0.9629629629629629	0.9545454545454546	0.9629629629629629	0.006734006734006728	0.9932659932659932
P05771_WT	Fold 5	22:27		0.7106690545187014	0.8571428571428571	0.8535353535353536	0.8888888888888888	0.8181818181818182	0.8571428571428571	0.8571428571428571	0.8727272727272727	0.048821548821548814	0.9511784511784511
P05771_WT	Mean	-		0.7312456688257595	0.8612244897959183	0.8573342116820377	0.9111111111111111	0.8035573122529645	0.8587356500960988	0.8905427905427906	0.879147091796046	0.0615013006317354	0.9384986993682645
P05771_WT	SD	-		0.10010060386559126	0.05189722754492693	0.056327940753375834	0.05894980931512753	0.12819269145009685	0.08266718851996659	0.067490618799302	0.041708951894973555	0.03375038357732035	0.03375038357732031
P05771_WT	Test set	250:40		-0.042575934683776503	0.18275862068965518	0.484	0.9	0.068	0.13382899628252787	0.8095238095238095	0.23300970873786409	0.69175	0.30825
P25098_WT	Fold 1	14:7		0.408248290463863	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.5555555555555556	0.8333333333333334	0.6250000000000001	0.13265306122448978	0.8673469387755103
P25098_WT	Fold 2	14:7		0.408248290463863	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.5555555555555556	0.8333333333333334	0.6250000000000001	0.16326530612244897	0.836734693877551
P25098_WT	Fold 3	14:7		0.7905694150420949	0.9047619047619048	0.8571428571428572	0.7142857142857143	1.0	1.0	0.875	0.8333333333333333	0.025510204081632657	0.9744897959183673
P25098_WT	Fold 4	13:7		0.5604395604395604	0.8	0.7802197802197802	0.7142857142857143	0.8461538461538461	0.7142857142857143	0.8461538461538461	0.7142857142857143	0.1758241758241758	0.8241758241758242
P25098_WT	Fold 5	13:7		0.6847367880174606	0.85	0.8516483516483516	0.8571428571428571	0.8461538461538461	0.75	0.9166666666666666	0.7999999999999999	0.06593406593406591	0.9340659340659341
P25098_WT	Mean	-		0.5704484688853684	0.7966666666666667	0.7835164835164835	0.7428571428571429	0.8241758241758242	0.7150793650793651	0.860897435897436	0.7195238095238096	0.11263736263736264	0.8873626373626374
P25098_WT	SD	-		0.1379812939225123	0.06845117321225795	0.05724139151829321	0.05216405309573008	0.09663667368698109	0.14905007013215255	0.029000064234741083	0.07887327781407845	0.05280266706192741	0.05280266706192739
P25098_WT	Test set	70:124		0.273407339141599	0.5927835051546392	0.6379032258064516	0.47580645161290325	0.8	0.8082191780821918	0.4628099173553719	0.5989847715736041	0.2883640552995392	0.7116359447004608
Q13315_WT	Fold 1	2:175		0.4942857142857143	0.9887005649717514	0.7471428571428571	0.9942857142857143	0.5	0.9942857142857143	0.5	0.9942857142857143	0.002857142857142857	0.9971428571428571
Q13315_WT	Fold 2	2:174		0.0	0.9886363636363636	0.5	1.0	0.0	0.9886363636363636	0.0	0.9942857142857142	0.0	1.0
Q13315_WT	Fold 3	2:174		0.7050835816716038	0.9943181818181818	0.75	1.0	0.5	0.9942857142857143	1.0	0.9971346704871061	0.04310344827586207	0.9568965517241379
