target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q92772_WT		8:21	Number of points 29 < 30										
Q96Q40_WT		5:17	Number of points 22 < 30										
Q9UPZ9_WT		5:5	Not enough data in minority class of the training set for all 5 folds										
Q9UPZ9_WT	Fold 1	1:4		0.4082482904638631	0.6	0.75	0.5	1.0	1.0	0.3333333333333333	0.6666666666666666	0.0	1.0
Q9UPZ9_WT	Fold 2	1:4		-0.25	0.6	0.375	0.75	0.0	0.75	0.0	0.75	0.75	0.25
Q9UPZ9_WT	Fold 3	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.3333333333333333	0.6666666666666666
Q9UPZ9_WT	Fold 4	2:3		0.6123724356957946	0.8	0.75	1.0	0.5	0.75	1.0	0.8571428571428571	0.0	1.0
Q9UPZ9_WT	Fold 5	2:3		0.16666666666666666	0.6	0.5833333333333333	0.6666666666666666	0.5	0.6666666666666666	0.5	0.6666666666666666	0.41666666666666663	0.5833333333333334
Q9UPZ9_WT	Mean	-		0.18745747856526485	0.6399999999999999	0.5916666666666666	0.7833333333333333	0.4	0.7533333333333333	0.36666666666666664	0.738095238095238	0.3	0.7
Q9UPZ9_WT	SD	-		0.27575439346581915	0.07302967433402217	0.1326370709590369	0.17743021580745905	0.3415650255319866	0.123753039618487	0.33884334848837566	0.06410910484683933	0.25730080393132027	0.25730080393132027
Q9UPZ9_WT	Test set	5:5		-0.408248290463863	0.3	0.30000000000000004	0.4	0.2	0.3333333333333333	0.25	0.3636363636363636	0.76	0.24
Q8WTQ7_WT		1:26	Not enough data in minority class of the training set for all 5 folds										
Q8WTQ7_WT	Fold 1	1:6		0.0	0.8571428571428571	0.5	1.0	0.0	0.8571428571428571	0.0	0.923076923076923	0.41666666666666663	0.5833333333333333
Q8WTQ7_WT	Fold 2	2:5		0.6454972243679028	0.8571428571428571	0.75	1.0	0.5	0.8333333333333334	1.0	0.9090909090909091	0.0	1.0
Q8WTQ7_WT	Fold 3	1:5		0.6324555320336759	0.8333333333333334	0.9	0.8	1.0	1.0	0.5	0.888888888888889	0.1	0.9
Q8WTQ7_WT	Fold 4	1:5		0.6324555320336759	0.8333333333333334	0.9	0.8	1.0	1.0	0.5	0.888888888888889	0.1	0.9
Q8WTQ7_WT	Fold 5	1:5		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q8WTQ7_WT	Mean	-		0.5820816576870509	0.8761904761904763	0.8099999999999999	0.9199999999999999	0.7	0.9380952380952381	0.6	0.9219891219891221	0.12333333333333332	0.8766666666666666
Q8WTQ7_WT	SD	-		0.29511901147055375	0.057340926565677595	0.1591644851508443	0.08944271909999157	0.3651483716701107	0.06955207079430681	0.34156502553198664	0.03751554157453029	0.13997354247354246	0.1399735424735425
Q8WTQ7_WT	Test set	1:26		-0.038461538461538464	0.9259259259259259	0.4807692307692308	0.9615384615384616	0.0	0.9615384615384616	0.0	0.9615384615384616	0.4230769230769231	0.5769230769230769
P36888_R834Q		19:15	No test data for temporal split at 2013										
Q8TF76_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
Q8TF76_WT	Fold 1	2:3		-0.4082482904638631	0.4	0.3333333333333333	0.6666666666666666	0.0	0.5	0.0	0.5714285714285715	0.6666666666666666	0.3333333333333333
Q8TF76_WT	Fold 2	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.3333333333333333	0.6666666666666666
Q8TF76_WT	Fold 3	1:3		0.5773502691896258	0.75	0.8333333333333333	0.6666666666666666	1.0	1.0	0.5	0.8	0.3333333333333333	0.6666666666666666
Q8TF76_WT	Fold 4	2:2		0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Q8TF76_WT	Fold 5	2:2		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.5	0.5
Q8TF76_WT	Mean	-		0.033820395745152554	0.58	0.5333333333333333	0.7666666666666666	0.3	0.65	0.2	0.679047619047619	0.4666666666666666	0.5333333333333333
Q8TF76_WT	SD	-		0.2870194256370715	0.13102162671355697	0.14907119849998596	0.18257418583505536	0.3651483716701107	0.18257418583505536	0.22360679774997896	0.12257010889633803	0.1138550085106622	0.11385500851066219
Q8TF76_WT	Test set	8:2		0.2182178902359924	0.7	0.625	0.5	0.75	0.3333333333333333	0.8571428571428571	0.4	0.1875	0.8125
Q15835_WT		4:20	Not enough data in minority class of the training set for all 5 folds										
O43318_WT	Fold 1	3:6		-0.15811388300841897	0.4444444444444444	0.41666666666666663	0.5	0.3333333333333333	0.6	0.25	0.5454545454545454	0.6111111111111112	0.3888888888888889
O43318_WT	Fold 2	3:6		-0.3779644730092272	0.4444444444444444	0.3333333333333333	0.6666666666666666	0.0	0.5714285714285714	0.0	0.6153846153846153	0.5	0.5
O43318_WT	Fold 3	3:5		0.2581988897471611	0.625	0.6333333333333333	0.6	0.6666666666666666	0.75	0.5	0.6666666666666665	0.4	0.6000000000000001
O43318_WT	Fold 4	3:5		0.4879500364742666	0.75	0.6666666666666666	1.0	0.3333333333333333	0.7142857142857143	1.0	0.8333333333333333	0.13333333333333336	0.8666666666666667
O43318_WT	Fold 5	3:5		0.4666666666666667	0.75	0.7333333333333334	0.8	0.6666666666666666	0.8	0.6666666666666666	0.8000000000000002	0.06666666666666668	0.9333333333333333
O43318_WT	Mean	-		0.13534744737408963	0.6027777777777777	0.5566666666666666	0.7133333333333333	0.4	0.6871428571428572	0.4833333333333333	0.6921678321678322	0.3422222222222222	0.6577777777777778
O43318_WT	SD	-		0.31591195182714427	0.12515422584520902	0.14063348739819326	0.158230961057048	0.2277100170213244	0.08000850294948463	0.31328604844159297	0.09968804296270385	0.1915283988655898	0.1915283988655898
O43318_WT	Test set	68:80		-0.026433636185122757	0.5135135135135135	0.48933823529411763	0.7875	0.19117647058823528	0.5338983050847458	0.43333333333333335	0.6363636363636364	0.5932904411764706	0.40670955882352944
P35626_WT		6:0	Only one activity class in traing set for temporal split at 2013										
Q9Y2K2_WT	Fold 1	1:4		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.0	1.0
Q9Y2K2_WT	Fold 2	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.125	0.875
Q9Y2K2_WT	Fold 3	2:3		0.6123724356957946	0.8	0.75	1.0	0.5	0.75	1.0	0.8571428571428571	0.08333333333333333	0.9166666666666666
Q9Y2K2_WT	Fold 4	1:3		0.5773502691896258	0.75	0.8333333333333333	0.6666666666666666	1.0	1.0	0.5	0.8	0.3333333333333333	0.6666666666666666
Q9Y2K2_WT	Fold 5	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.0	1.0
Q9Y2K2_WT	Mean	-		0.36041902811624305	0.78	0.6916666666666667	0.8833333333333332	0.5	0.86	0.4	0.8520634920634921	0.10833333333333332	0.8916666666666666
Q9Y2K2_WT	SD	-		0.2688940169757246	0.022360679774997918	0.1475102005261306	0.1326370709590369	0.408248290463863	0.1056724498943157	0.3415650255319866	0.026280908488931866	0.11180339887498947	0.11180339887498951
Q9Y2K2_WT	Test set	8:13		0.021926450482675733	0.5714285714285714	0.5096153846153846	0.7692307692307693	0.25	0.625	0.4	0.6896551724137931	0.39423076923076916	0.6057692307692308
Q8IYT8_WT		7:1	Not enough data in minority class of the training set for all 5 folds										
Q8IYT8_WT	Fold 1	3:4		-0.16666666666666666	0.42857142857142855	0.41666666666666663	0.5	0.3333333333333333	0.5	0.3333333333333333	0.5	0.33333333333333337	0.6666666666666667
Q8IYT8_WT	Fold 2	2:4		0.25	0.6666666666666666	0.625	0.75	0.5	0.75	0.5	0.75	0.25	0.75
Q8IYT8_WT	Fold 3	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.5	0.5
Q8IYT8_WT	Fold 4	2:4		0.5	0.6666666666666666	0.75	0.5	1.0	1.0	0.5	0.6666666666666666	0.5	0.5
Q8IYT8_WT	Fold 5	3:3		0.0	0.5	0.5	0.6666666666666666	0.3333333333333333	0.5	0.5	0.5714285714285715	0.3333333333333333	0.6666666666666666
Q8IYT8_WT	Mean	-		0.24315777307340186	0.619047619047619	0.6083333333333333	0.6833333333333333	0.5333333333333333	0.71	0.5666666666666667	0.6753968253968254	0.38333333333333336	0.6166666666666667
Q8IYT8_WT	SD	-		0.2722282329062931	0.1296836082410174	0.12171612389003693	0.16942167424418786	0.223606797749979	0.17416467303484176	0.20637972912229677	0.12436113721665397	0.09128709291752768	0.09128709291752768
Q8IYT8_WT	Test set	7:1		0.2182178902359924	0.375	0.6428571428571428	1.0	0.2857142857142857	0.16666666666666666	1.0	0.2857142857142857	0.5714285714285714	0.4285714285714286
O75385_WT	Fold 1	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.0	1.0
O75385_WT	Fold 2	1:4		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	1.0	0.0
O75385_WT	Fold 3	2:3		-0.16666666666666666	0.4	0.41666666666666663	0.3333333333333333	0.5	0.5	0.3333333333333333	0.4	0.6666666666666666	0.3333333333333333
O75385_WT	Fold 4	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.41666666666666663	0.5833333333333334
O75385_WT	Fold 5	2:3		0.4082482904638631	0.6	0.6666666666666666	0.3333333333333333	1.0	1.0	0.5	0.5	0.0	1.0
O75385_WT	Mean	-		0.17480743116617448	0.6466666666666667	0.5666666666666667	0.7333333333333334	0.4	0.74	0.36666666666666664	0.6855555555555556	0.41666666666666663	0.5833333333333333
O75385_WT	SD	-		0.2713104785081292	0.14350119369744838	0.1118033988749895	0.29814239699997197	0.34156502553198664	0.1591644851508443	0.33884334848837566	0.18385447814998274	0.3535533905932738	0.3535533905932738
O75385_WT	Test set	23:24		-0.24694731008896287	0.425531914893617	0.4175724637681159	0.7916666666666666	0.043478260869565216	0.4634146341463415	0.16666666666666666	0.5846153846153846	0.6884057971014493	0.3115942028985508
Q9Y572_WT		15:45	Not enough training data for temporal split at 2013										
Q9BYP7_WT		1:2	Number of points 3 < 30										
Q9P2K8_WT		6:4	Not enough data in minority class of the training set for all 5 folds										
Q9NZJ5_WT		38:4	Not enough data in minority class of the training set for all 5 folds										
Q9NZJ5_WT	Fold 1	2:22		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 2	1:23		-0.043478260869565216	0.9166666666666666	0.4782608695652174	0.9565217391304348	0.0	0.9565217391304348	0.0	0.9565217391304348	0.043478260869565216	0.9565217391304348
Q9NZJ5_WT	Fold 3	1:23		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 4	1:23		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 5	1:22		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Mean	-		0.7913043478260869	0.9833333333333332	0.8956521739130434	0.9913043478260869	0.8	0.9913043478260869	0.8	0.9913043478260869	0.008695652173913044	0.9913043478260869
Q9NZJ5_WT	SD	-		0.3810243878296808	0.030429030972509243	0.1905121939148404	0.015876016159570024	0.3651483716701107	0.015876016159570024	0.3651483716701107	0.015876016159570024	0.01587601615957003	0.015876016159570024
Q9NZJ5_WT	Test set	38:4		0.2867696673382022	0.7142857142857143	0.7302631578947368	0.75	0.7105263157894737	0.21428571428571427	0.9642857142857143	0.3333333333333333	0.26973684210526316	0.7302631578947368
Q9Y478_WT		9:32	Not enough training data for temporal split at 2013										
Q9BQI3_WT		4:12	Not enough data in minority class of the training set for all 5 folds										
Q9BQI3_WT	Fold 1	2:5		0.0	0.7142857142857143	0.5	1.0	0.0	0.7142857142857143	0.0	0.8333333333333333	0.2	0.8
Q9BQI3_WT	Fold 2	3:4		0.75	0.8571428571428571	0.875	0.75	1.0	1.0	0.75	0.8571428571428571	0.25	0.75
Q9BQI3_WT	Fold 3	3:4		0.09128709291752768	0.5714285714285714	0.5416666666666666	0.75	0.3333333333333333	0.6	0.5	0.6666666666666665	0.5	0.5
Q9BQI3_WT	Fold 4	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.625	0.375
Q9BQI3_WT	Fold 5	2:4		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.3125	0.6875
Q9BQI3_WT	Mean	-		0.10501186538013796	0.6619047619047619	0.5583333333333333	0.85	0.26666666666666666	0.7161904761904763	0.25	0.7647619047619048	0.3775	0.6224999999999999
Q9BQI3_WT	SD	-		0.32033728942586237	0.112014468345253	0.1532819962369044	0.11180339887498948	0.3548604316149181	0.13540343123876902	0.28867513459481287	0.07497038972050936	0.14620191517213446	0.1462019151721345
Q9BQI3_WT	Test set	4:12		-0.14907119849998599	0.6875	0.4583333333333333	0.9166666666666666	0.0	0.7333333333333333	0.0	0.8148148148148148	0.3958333333333333	0.6041666666666666
P54619_WT		4:19	Number of points 23 < 30										
O00238_WT	Fold 1	2:5		0.3	0.7142857142857143	0.65	0.8	0.5	0.8	0.5	0.8000000000000002	0.44999999999999996	0.55
O00238_WT	Fold 2	2:5		-0.2581988897471611	0.5714285714285714	0.4	0.8	0.0	0.6666666666666666	0.0	0.7272727272727272	0.4	0.6
O00238_WT	Fold 3	1:5		-0.31622776601683794	0.5	0.3	0.6	0.0	0.75	0.0	0.6666666666666665	0.8	0.2
O00238_WT	Fold 4	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.8125	0.1875
O00238_WT	Fold 5	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.75	0.25
O00238_WT	Mean	-		-0.18137643755953498	0.5571428571428572	0.42000000000000004	0.74	0.1	0.6833333333333333	0.1	0.7054545454545453	0.6425	0.3575
O00238_WT	SD	-		0.22067306366271316	0.0760415210603396	0.10935416468216166	0.06708203932499371	0.1825741858350554	0.07328281087929402	0.1825741858350554	0.04818086524691354	0.16387240971764183	0.1638724097176418
O00238_WT	Test set	16:10		-0.32024493467004	0.3076923076923077	0.38125	0.7	0.0625	0.3181818181818182	0.25	0.4375	0.4375	0.5625
Q9UL54_WT		4:26	Not enough data in minority class of the training set for all 5 folds										
Q9H2K8_WT		1:17	Not enough data in minority class of the training set for all 5 folds										
Q9H2K8_WT	Fold 1	10:8		0.4472135954999579	0.7222222222222222	0.725	0.75	0.7	0.6666666666666666	0.7777777777777778	0.7058823529411765	0.225	0.775
Q9H2K8_WT	Fold 2	10:8		-0.20385887657505022	0.3888888888888889	0.4	0.5	0.3	0.36363636363636365	0.42857142857142855	0.4210526315789474	0.525	0.47500000000000003
Q9H2K8_WT	Fold 3	10:8		0.05976143046671968	0.5555555555555556	0.525	0.25	0.8	0.5	0.5714285714285714	0.3333333333333333	0.28750000000000003	0.7125
Q9H2K8_WT	Fold 4	10:8		0.1	0.5555555555555556	0.55	0.5	0.6	0.5	0.6	0.5	0.5125	0.4875
Q9H2K8_WT	Fold 5	10:8		0.7905694150420948	0.8888888888888888	0.875	0.75	1.0	1.0	0.8333333333333334	0.8571428571428571	0.1125	0.8875
Q9H2K8_WT	Mean	-		0.23873711288674446	0.6222222222222222	0.615	0.55	0.6799999999999999	0.6060606060606061	0.6422222222222222	0.5634822349992629	0.3325	0.6674999999999999
Q9H2K8_WT	SD	-		0.3149478329243271	0.1551582227085438	0.15179481765418298	0.17078251276599332	0.21134489978863144	0.20005355879129658	0.1337534324181308	0.17502335921081955	0.14800760115615683	0.14800760115615683
Q9H2K8_WT	Test set	1:17		-0.10846522890932808	0.7777777777777778	0.4117647058823529	0.8235294117647058	0.0	0.9333333333333333	0.0	0.8749999999999999	0.9411764705882353	0.058823529411764705
P67870_WT		10:44	Not enough training data for temporal split at 2013										
Q86Z02_WT	Fold 1	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.4444444444444444	0.5555555555555556
Q86Z02_WT	Fold 2	2:9		0.24056261216234406	0.7272727272727273	0.6388888888888888	0.7777777777777778	0.5	0.875	0.3333333333333333	0.823529411764706	0.5555555555555556	0.4444444444444444
Q86Z02_WT	Fold 3	2:8		-0.25	0.6	0.375	0.75	0.0	0.75	0.0	0.75	0.5	0.5
Q86Z02_WT	Fold 4	2:8		-0.16666666666666666	0.7	0.4375	0.875	0.0	0.7777777777777778	0.0	0.823529411764706	0.8125	0.1875
Q86Z02_WT	Fold 5	2:8		-0.3273268353539886	0.5	0.3125	0.625	0.0	0.7142857142857143	0.0	0.6666666666666666	0.6875	0.3125
Q86Z02_WT	Mean	-		-0.10068617797166224	0.6690909090909092	0.4527777777777778	0.8055555555555556	0.1	0.7870490620490621	0.06666666666666667	0.7927450980392157	0.6	0.4
Q86Z02_WT	SD	-		0.18466296918002587	0.09994488839482212	0.10232947774938023	0.11481108118182634	0.1825741858350554	0.05075711851447621	0.12171612389003691	0.07202068707607674	0.12178214121001271	0.1217821412100127
Q86Z02_WT	Test set	17:57		-0.09101978021212503	0.7432432432432432	0.4824561403508772	0.9649122807017544	0.0	0.7638888888888888	0.0	0.8527131782945737	0.6904024767801857	0.30959752321981426
P41279_WT	Fold 1	14:9		0.6573421981221795	0.8260869565217391	0.7777777777777778	0.5555555555555556	1.0	1.0	0.7777777777777778	0.7142857142857143	0.06349206349206347	0.9365079365079364
P41279_WT	Fold 2	14:9		0.6349206349206349	0.8260869565217391	0.8174603174603174	0.7777777777777778	0.8571428571428571	0.7777777777777778	0.8571428571428571	0.7777777777777778	0.11904761904761905	0.8809523809523809
P41279_WT	Fold 3	14:9		0.5367450401216932	0.782608695652174	0.7619047619047619	0.6666666666666666	0.8571428571428571	0.75	0.8	0.7058823529411765	0.12698412698412698	0.873015873015873
P41279_WT	Fold 4	13:9		0.4311874002772672	0.7272727272727273	0.6837606837606838	0.4444444444444444	0.9230769230769231	0.8	0.7058823529411765	0.5714285714285714	0.29059829059829057	0.7094017094017094
P41279_WT	Fold 5	14:8		0.6383106423916777	0.8181818181818182	0.8303571428571428	0.875	0.7857142857142857	0.7	0.9166666666666666	0.7777777777777777	0.10714285714285715	0.8928571428571428
P41279_WT	Mean	-		0.5797011831666905	0.7960474308300396	0.7742521367521367	0.663888888888889	0.8846153846153847	0.8055555555555556	0.8114939309056958	0.7094304388422035	0.14145299145299145	0.8585470085470085
P41279_WT	SD	-		0.07790374156547203	0.03465361155680632	0.047202241233726	0.13990369997784088	0.06593406593406595	0.09384340340236984	0.06527866374707059	0.06882755686253343	0.07095862716364024	0.0709586271636402
P41279_WT	Test set	15:12		0.25	0.6296296296296297	0.625	0.5833333333333334	0.6666666666666666	0.5833333333333334	0.6666666666666666	0.5833333333333334	0.1888888888888889	0.8111111111111111
P22612_WT		4:86	Not enough data in minority class of the training set for all 5 folds										
Q96BR1_WT		3:15	Not enough data in minority class of the training set for all 5 folds										
Q96BR1_WT	Fold 1	2:2		0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Q96BR1_WT	Fold 2	1:2		0.5	0.6666666666666666	0.75	0.5	1.0	1.0	0.5	0.6666666666666666	0.0	1.0
Q96BR1_WT	Fold 3	1:2		-0.5	0.3333333333333333	0.25	0.5	0.0	0.5	0.0	0.5	0.75	0.25
Q96BR1_WT	Fold 4	1:2		0.5	0.6666666666666666	0.75	0.5	1.0	1.0	0.5	0.6666666666666666	0.0	1.0
Q96BR1_WT	Fold 5	1:2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q96BR1_WT	Mean	-		0.3	0.6333333333333333	0.65	0.6	0.7	0.8	0.5	0.6666666666666666	0.25	0.75
Q96BR1_WT	SD	-		0.4654746681256314	0.2018433569398328	0.2327373340628157	0.18257418583505536	0.3651483716701107	0.22360679774997896	0.28867513459481287	0.16666666666666666	0.28867513459481287	0.28867513459481287
Q96BR1_WT	Test set	3:15		-0.2773500981126146	0.5555555555555556	0.3333333333333333	0.6666666666666666	0.0	0.7692307692307693	0.0	0.7142857142857142	0.8	0.2
Q00534_WT		4:12	Not enough data in minority class of the training set for all 5 folds										
Q99558_WT		78:37	Not enough training data for temporal split at 2013										
P05771_WT	Fold 1	23:26		0.6174740333921486	0.7959183673469388	0.7851170568561874	0.9615384615384616	0.6086956521739131	0.7352941176470589	0.9333333333333333	0.8333333333333333	0.06688963210702341	0.9331103678929766
P05771_WT	Fold 2	22:27		0.5860723375660168	0.7959183673469388	0.7895622895622896	0.8518518518518519	0.7272727272727273	0.7931034482758621	0.8	0.8214285714285715	0.14309764309764308	0.8569023569023568
P05771_WT	Fold 3	22:27		0.8489980687832692	0.9183673469387755	0.9259259259259259	0.8518518518518519	1.0	1.0	0.8461538461538461	0.92	0.018518518518518514	0.9814814814814814
P05771_WT	Fold 4	22:27		0.835016835016835	0.9183673469387755	0.9175084175084175	0.9259259259259259	0.9090909090909091	0.9259259259259259	0.9090909090909091	0.9259259259259259	0.020202020202020197	0.9797979797979798
P05771_WT	Fold 5	22:27		0.7953064913108095	0.8979591836734694	0.898989898989899	0.8888888888888888	0.9090909090909091	0.9230769230769231	0.8695652173913043	0.9056603773584906	0.01851851851851852	0.9814814814814815
P05771_WT	Mean	-		0.7365735532138158	0.8653061224489795	0.8634207177685438	0.896011396011396	0.8308300395256918	0.875480082985154	0.8716286611938786	0.8812696416092642	0.053445266488744744	0.9465547335112552
P05771_WT	SD	-		0.10215610683646313	0.05216405309573011	0.05727721724513991	0.039028912797786364	0.12970209835252922	0.08827369069539004	0.04280727291674834	0.04075940732299239	0.044277850877033544	0.044277850877033564
P05771_WT	Test set	250:40		0.04338697467824863	0.20344827586206896	0.517	0.95	0.084	0.14232209737827714	0.9130434782608695	0.247557003257329	0.30479999999999996	0.6951999999999999
P25098_WT	Fold 1	14:7		0.4287464628562721	0.7619047619047619	0.6785714285714286	0.42857142857142855	0.9285714285714286	0.75	0.7647058823529411	0.5454545454545454	0.21428571428571425	0.7857142857142856
P25098_WT	Fold 2	14:7		0.13483997249264842	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.4	0.7272727272727273	0.47058823529411764	0.3469387755102041	0.6530612244897959
P25098_WT	Fold 3	14:7		0.6859943405700354	0.8571428571428571	0.7857142857142857	0.5714285714285714	1.0	1.0	0.8235294117647058	0.7272727272727273	0.020408163265306114	0.9795918367346939
P25098_WT	Fold 4	13:7		0.43463356032809364	0.75	0.7087912087912087	0.5714285714285714	0.8461538461538461	0.6666666666666666	0.7857142857142857	0.6153846153846153	0.14285714285714282	0.8571428571428572
P25098_WT	Fold 5	13:7		0.47075654176200415	0.75	0.7417582417582418	0.7142857142857143	0.7692307692307693	0.625	0.8333333333333334	0.6666666666666666	0.1648351648351648	0.8351648351648352
P25098_WT	Mean	-		0.4309941756018108	0.738095238095238	0.6972527472527472	0.5714285714285714	0.8230769230769232	0.6883333333333332	0.7869111280875987	0.6050733580145344	0.17786499215070642	0.8221350078492936
P25098_WT	SD	-		0.1603806613703132	0.08445951053092365	0.0659798375924311	0.08247860988423227	0.13490102012680358	0.17727359060482167	0.03546633159512588	0.08213139329813511	0.09669573594098288	0.0966957359409829
P25098_WT	Test set	70:124		0.11541606533260813	0.4845360824742268	0.5532258064516129	0.3064516129032258	0.8	0.7307692307692307	0.39436619718309857	0.4318181818181818	0.43629032258064515	0.5637096774193548
Q13315_WT	Fold 1	2:175		0.4942857142857143	0.9887005649717514	0.7471428571428571	0.9942857142857143	0.5	0.9942857142857143	0.5	0.9942857142857143	0.005714285714285714	0.9942857142857143
