target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q92772_WT		8:21	Number of points 29 < 30										
Q96Q40_WT		5:17	Number of points 22 < 30										
Q9UPZ9_WT		5:5	Not enough data in minority class of the training set for all 5 folds										
Q9UPZ9_WT	Fold 1	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.125	0.875
Q9UPZ9_WT	Fold 2	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.0	1.0
Q9UPZ9_WT	Fold 3	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.0	1.0
Q9UPZ9_WT	Fold 4	2:3		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9UPZ9_WT	Fold 5	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.16666666666666666	0.8333333333333333
Q9UPZ9_WT	Mean	-		0.44494897427831787	0.76	0.75	0.9	0.6	0.8400000000000001	0.4	0.8428571428571427	0.05833333333333333	0.9416666666666667
Q9UPZ9_WT	SD	-		0.3559265025824302	0.13662601021279466	0.19094065395649334	0.11180339887498948	0.447213595499958	0.17888543819998318	0.3415650255319866	0.0840108512589398	0.06631853547951845	0.06631853547951848
Q9UPZ9_WT	Test set	5:5		-0.408248290463863	0.3	0.30000000000000004	0.4	0.2	0.3333333333333333	0.25	0.3636363636363636	0.8	0.2
Q8WTQ7_WT		1:26	Not enough data in minority class of the training set for all 5 folds										
Q8WTQ7_WT	Fold 1	1:6		0.0	0.8571428571428571	0.5	1.0	0.0	0.8571428571428571	0.0	0.923076923076923	0.75	0.25
Q8WTQ7_WT	Fold 2	2:5		0.6454972243679028	0.8571428571428571	0.75	1.0	0.5	0.8333333333333334	1.0	0.9090909090909091	0.45	0.55
Q8WTQ7_WT	Fold 3	1:5		0.4472135954999579	0.6666666666666666	0.8	0.6	1.0	1.0	0.3333333333333333	0.7499999999999999	0.1	0.9
Q8WTQ7_WT	Fold 4	1:5		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.0	1.0
Q8WTQ7_WT	Fold 5	1:5		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.0	1.0
Q8WTQ7_WT	Mean	-		0.21854216397357215	0.8095238095238095	0.61	0.9199999999999999	0.3	0.8714285714285716	0.26666666666666666	0.88006993006993	0.26	0.74
Q8WTQ7_WT	SD	-		0.2509526115608975	0.06592558621363552	0.12382783747337808	0.1460593486680443	0.3651483716701107	0.05928523618089872	0.3548604316149181	0.05957409927408103	0.2698765149718169	0.2698765149718169
Q8WTQ7_WT	Test set	1:26		0.0	0.9629629629629629	0.5	1.0	0.0	0.9629629629629629	0.0	0.9811320754716981	0.0	1.0
P36888_R834Q		19:15	No test data for temporal split at 2013										
Q8TF76_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
Q8TF76_WT	Fold 1	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.3333333333333333	0.6666666666666666
Q8TF76_WT	Fold 2	1:3		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.8333333333333333	0.16666666666666666
Q8TF76_WT	Fold 3	1:3		0.5773502691896258	0.75	0.8333333333333333	0.6666666666666666	1.0	1.0	0.5	0.8	0.3333333333333333	0.6666666666666666
Q8TF76_WT	Fold 4	2:2		0.0	0.5	0.5	0.0	1.0	0.0	0.5	0.0	1.0	0.0
Q8TF76_WT	Fold 5	2:2		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.5	0.5
Q8TF76_WT	Mean	-		0.11547005383792516	0.62	0.5666666666666667	0.7333333333333333	0.4	0.5700000000000001	0.2	0.6147619047619047	0.6	0.4
Q8TF76_WT	SD	-		0.21081851067789198	0.10246950765959599	0.12171612389003689	0.35486043161491804	0.4472135954999579	0.3022140521771503	0.22360679774997896	0.286349822263794	0.2472066162365221	0.2472066162365221
Q8TF76_WT	Test set	8:2		0.3273268353539886	0.5	0.6875	1.0	0.375	0.2857142857142857	1.0	0.4444444444444445	0.1875	0.8125
Q15835_WT		4:20	Not enough data in minority class of the training set for all 5 folds										
O43318_WT	Fold 1	3:6		0.1889822365046136	0.6666666666666666	0.5833333333333334	0.8333333333333334	0.3333333333333333	0.7142857142857143	0.5	0.7692307692307692	0.22222222222222224	0.7777777777777778
O43318_WT	Fold 2	3:6		0.5	0.7777777777777778	0.75	0.8333333333333334	0.6666666666666666	0.8333333333333334	0.6666666666666666	0.8333333333333334	0.38888888888888895	0.6111111111111113
O43318_WT	Fold 3	3:5		0.2581988897471611	0.625	0.6333333333333333	0.6	0.6666666666666666	0.75	0.5	0.6666666666666665	0.26666666666666666	0.7333333333333334
O43318_WT	Fold 4	3:5		0.4666666666666667	0.75	0.7333333333333334	0.8	0.6666666666666666	0.8	0.6666666666666666	0.8000000000000002	0.2	0.8
O43318_WT	Fold 5	3:5		0.0	0.625	0.5	1.0	0.0	0.625	0.0	0.7692307692307693	0.06666666666666668	0.9333333333333333
O43318_WT	Mean	-		0.2827695585836883	0.6888888888888889	0.64	0.8133333333333332	0.4666666666666666	0.7445238095238095	0.4666666666666666	0.7676923076923077	0.22888888888888886	0.7711111111111112
O43318_WT	SD	-		0.1685059909175638	0.05815669906460076	0.08530989261379819	0.1164283279771532	0.24343224778007383	0.06607446725459148	0.22360679774997896	0.050930418386112314	0.09506333171647752	0.09506333171647746
O43318_WT	Test set	68:80		0.09139517240714722	0.5608108108108109	0.5363970588235294	0.8375	0.23529411764705882	0.5630252100840336	0.5517241379310345	0.6733668341708542	0.49099264705882356	0.5090073529411765
P35626_WT		6:0	Only one activity class in traing set for temporal split at 2013										
Q9Y2K2_WT	Fold 1	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.125	0.875
Q9Y2K2_WT	Fold 2	1:4		0.6123724356957946	0.8	0.875	0.75	1.0	1.0	0.5	0.8571428571428571	0.125	0.875
Q9Y2K2_WT	Fold 3	2:3		0.0	0.6	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.3333333333333333	0.6666666666666666
Q9Y2K2_WT	Fold 4	1:3		-0.3333333333333333	0.5	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.0	0.6666666666666666	0.3333333333333333	0.6666666666666666
Q9Y2K2_WT	Fold 5	1:3		-0.3333333333333333	0.5	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.0	0.6666666666666666	0.8333333333333333	0.16666666666666666
Q9Y2K2_WT	Mean	-		0.11161564094498452	0.64	0.5833333333333334	0.7666666666666666	0.4	0.7866666666666666	0.2	0.7595238095238094	0.35	0.6499999999999999
Q9Y2K2_WT	SD	-		0.38942948991749965	0.1238278374733781	0.2243818669639377	0.1118033988749895	0.4472135954999579	0.16055459438389727	0.22360679774997896	0.0778829868276006	0.23643768265185178	0.2364376826518518
Q9Y2K2_WT	Test set	8:13		0.07953559537197222	0.6190476190476191	0.5240384615384616	0.9230769230769231	0.125	0.631578947368421	0.5	0.7499999999999999	0.451923076923077	0.548076923076923
Q8IYT8_WT		7:1	Not enough data in minority class of the training set for all 5 folds										
Q8IYT8_WT	Fold 1	3:4		-0.16666666666666666	0.42857142857142855	0.41666666666666663	0.5	0.3333333333333333	0.5	0.3333333333333333	0.5	0.4166666666666667	0.5833333333333333
Q8IYT8_WT	Fold 2	2:4		0.5	0.6666666666666666	0.75	0.5	1.0	1.0	0.5	0.6666666666666666	0.5	0.5
Q8IYT8_WT	Fold 3	2:4		0.0	0.5	0.5	0.5	0.5	0.6666666666666666	0.3333333333333333	0.5714285714285715	0.25	0.75
Q8IYT8_WT	Fold 4	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.125	0.875
Q8IYT8_WT	Fold 5	3:3		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.22222222222222224	0.7777777777777778
Q8IYT8_WT	Mean	-		0.19315777307340184	0.5857142857142856	0.5833333333333333	0.7	0.4666666666666666	0.6933333333333334	0.4333333333333333	0.6587301587301587	0.3027777777777778	0.6972222222222222
Q8IYT8_WT	SD	-		0.2861317153819195	0.1337013062935839	0.1272937693043289	0.22360679774997896	0.29502040105226124	0.17363222093882272	0.2981423969999719	0.11966331087723431	0.1243294773174936	0.1243294773174936
Q8IYT8_WT	Test set	7:1		0.29277002188455997	0.5	0.7142857142857143	1.0	0.42857142857142855	0.2	1.0	0.33333333333333337	0.1428571428571429	0.8571428571428572
O75385_WT	Fold 1	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.5	0.5
O75385_WT	Fold 2	1:4		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.0	1.0
O75385_WT	Fold 3	2:3		0.16666666666666666	0.6	0.5833333333333333	0.6666666666666666	0.5	0.6666666666666666	0.5	0.6666666666666666	0.6666666666666666	0.3333333333333333
O75385_WT	Fold 4	2:3		-0.16666666666666666	0.4	0.41666666666666663	0.3333333333333333	0.5	0.5	0.3333333333333333	0.4	0.6666666666666666	0.3333333333333333
O75385_WT	Fold 5	2:3		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
O75385_WT	Mean	-		0.3264911064067352	0.7266666666666667	0.65	0.8	0.5	0.7533333333333333	0.5666666666666667	0.768888888888889	0.3666666666666666	0.6333333333333333
O75385_WT	SD	-		0.39212526543229465	0.18895423706205614	0.18880717186629364	0.24343224778007386	0.28867513459481287	0.15104573749303493	0.35486043161491804	0.19525229010212264	0.2788866755113585	0.27888667551135854
O75385_WT	Test set	23:24		-0.4406056770079381	0.3191489361702128	0.3134057971014493	0.5833333333333334	0.043478260869565216	0.3888888888888889	0.09090909090909091	0.4666666666666666	0.654891304347826	0.3451086956521739
Q9Y572_WT		15:45	Not enough training data for temporal split at 2013										
Q9BYP7_WT		1:2	Number of points 3 < 30										
Q9P2K8_WT		6:4	Not enough data in minority class of the training set for all 5 folds										
Q9NZJ5_WT		38:4	Not enough data in minority class of the training set for all 5 folds										
Q9NZJ5_WT	Fold 1	2:22		0.0	0.9166666666666666	0.5	1.0	0.0	0.9166666666666666	0.0	0.9565217391304348	0.0	1.0
Q9NZJ5_WT	Fold 2	1:23		-0.043478260869565216	0.9166666666666666	0.4782608695652174	0.9565217391304348	0.0	0.9565217391304348	0.0	0.9565217391304348	0.043478260869565216	0.9565217391304348
Q9NZJ5_WT	Fold 3	1:23		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 4	1:23		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Fold 5	1:22		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q9NZJ5_WT	Mean	-		0.5913043478260869	0.9666666666666666	0.7956521739130434	0.9913043478260869	0.6	0.9746376811594203	0.6	0.9826086956521738	0.008695652173913044	0.9913043478260869
Q9NZJ5_WT	SD	-		0.4571079741844502	0.03726779962499651	0.2285539870922251	0.015876016159570024	0.447213595499958	0.030601109805120603	0.447213595499958	0.019444069369563378	0.01587601615957003	0.015876016159570024
Q9NZJ5_WT	Test set	38:4		-0.046829290579084706	0.42857142857142855	0.4605263157894737	0.5	0.42105263157894735	0.08333333333333333	0.8888888888888888	0.14285714285714285	0.5164473684210527	0.48355263157894735
Q9Y478_WT		9:32	Not enough training data for temporal split at 2013										
Q9BQI3_WT		4:12	Not enough data in minority class of the training set for all 5 folds										
Q9BQI3_WT	Fold 1	2:5		0.09128709291752768	0.5714285714285714	0.55	0.6	0.5	0.75	0.3333333333333333	0.6666666666666665	0.5	0.5
Q9BQI3_WT	Fold 2	3:4		0.7302967433402214	0.8571428571428571	0.8333333333333333	1.0	0.6666666666666666	0.8	1.0	0.888888888888889	0.125	0.875
Q9BQI3_WT	Fold 3	3:4		-0.16666666666666666	0.42857142857142855	0.41666666666666663	0.5	0.3333333333333333	0.5	0.3333333333333333	0.5	0.5833333333333334	0.4166666666666667
Q9BQI3_WT	Fold 4	2:4		-0.31622776601683794	0.5	0.375	0.75	0.0	0.6	0.0	0.6666666666666665	0.5	0.5
Q9BQI3_WT	Fold 5	2:4		-0.25	0.3333333333333333	0.375	0.25	0.5	0.5	0.25	0.3333333333333333	0.75	0.25
Q9BQI3_WT	Mean	-		0.017737880714848907	0.5380952380952381	0.51	0.62	0.39999999999999997	0.63	0.3833333333333333	0.611111111111111	0.4916666666666667	0.5083333333333334
Q9BQI3_WT	SD	-		0.34889618379091253	0.16241748879093945	0.1588004804545395	0.22840023350834532	0.20637972912229677	0.11401754250991382	0.3027650354097492	0.16972502573910517	0.18695909633848712	0.18695909633848712
Q9BQI3_WT	Test set	4:12		0.0	0.75	0.5	1.0	0.0	0.75	0.0	0.8571428571428571	0.8958333333333334	0.10416666666666667
P54619_WT		4:19	Number of points 23 < 30										
O00238_WT	Fold 1	2:5		-0.2581988897471611	0.5714285714285714	0.4	0.8	0.0	0.6666666666666666	0.0	0.7272727272727272	0.2	0.8
O00238_WT	Fold 2	2:5		0.0	0.7142857142857143	0.5	1.0	0.0	0.7142857142857143	0.0	0.8333333333333333	0.5	0.5
O00238_WT	Fold 3	1:5		0.6324555320336759	0.8333333333333334	0.9	0.8	1.0	1.0	0.5	0.888888888888889	0.2	0.8
O00238_WT	Fold 4	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.25	0.75
O00238_WT	Fold 5	2:4		0.6324555320336759	0.8333333333333334	0.75	1.0	0.5	0.8	1.0	0.888888888888889	0.0	1.0
O00238_WT	Mean	-		0.3278335412707733	0.7571428571428572	0.6599999999999999	0.9199999999999999	0.4	0.7961904761904762	0.5	0.8454545454545455	0.22999999999999998	0.77
O00238_WT	SD	-		0.34863842606057915	0.09464098530643714	0.16683325008322933	0.08944271909999156	0.34156502553198664	0.10412504837534799	0.408248290463863	0.057407160559122566	0.1460593486680443	0.1460593486680443
O00238_WT	Test set	16:10		0.3857583749052298	0.5769230769230769	0.65625	1.0	0.3125	0.47619047619047616	1.0	0.6451612903225806	0.35000000000000003	0.6499999999999999
Q9UL54_WT		4:26	Not enough data in minority class of the training set for all 5 folds										
Q9H2K8_WT		1:17	Not enough data in minority class of the training set for all 5 folds										
Q9H2K8_WT	Fold 1	10:8		0.6708203932499369	0.8333333333333334	0.8375	0.875	0.8	0.7777777777777778	0.8888888888888888	0.823529411764706	0.18749999999999997	0.8125
Q9H2K8_WT	Fold 2	10:8		0.2548235957188128	0.6111111111111112	0.625	0.75	0.5	0.5454545454545454	0.7142857142857143	0.631578947368421	0.3875	0.6124999999999999
Q9H2K8_WT	Fold 3	10:8		0.1941450686788302	0.6111111111111112	0.5875	0.375	0.8	0.6	0.6153846153846154	0.4615384615384615	0.45	0.55
Q9H2K8_WT	Fold 4	10:8		0.15811388300841897	0.5555555555555556	0.575	0.75	0.4	0.5	0.6666666666666666	0.6	0.48750000000000004	0.5125
Q9H2K8_WT	Fold 5	10:8		0.7905694150420948	0.8888888888888888	0.875	0.75	1.0	1.0	0.8333333333333334	0.8571428571428571	0.012499999999999997	0.9875
Q9H2K8_WT	Mean	-		0.41369447113961877	0.7000000000000001	0.7	0.7	0.7	0.6846464646464646	0.7437118437118437	0.6747579355628891	0.305	0.695
Q9H2K8_WT	SD	-		0.2404550531006881	0.12255846005758737	0.11792476415070756	0.15478479684172258	0.2	0.1677075952352036	0.09343279204628602	0.13435830814490995	0.16355427233796127	0.16355427233796127
Q9H2K8_WT	Test set	1:17		-0.12964074471043288	0.7222222222222222	0.38235294117647056	0.7647058823529411	0.0	0.9285714285714286	0.0	0.8387096774193549	0.7647058823529411	0.23529411764705882
P67870_WT		10:44	Not enough training data for temporal split at 2013										
Q86Z02_WT	Fold 1	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.4444444444444444	0.5555555555555556
Q86Z02_WT	Fold 2	2:9		-0.14907119849998599	0.7272727272727273	0.4444444444444444	0.8888888888888888	0.0	0.8	0.0	0.8421052631578948	0.5555555555555556	0.4444444444444444
Q86Z02_WT	Fold 3	2:8		0.375	0.8	0.6875	0.875	0.5	0.875	0.5	0.875	0.5625	0.4375
Q86Z02_WT	Fold 4	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.5	0.5
Q86Z02_WT	Fold 5	2:8		-0.25	0.6	0.375	0.75	0.0	0.75	0.0	0.75	0.875	0.125
Q86Z02_WT	Mean	-		-0.004814239699997197	0.7490909090909091	0.5013888888888889	0.9027777777777779	0.1	0.8086363636363636	0.1	0.8511988304093567	0.5875	0.4125
Q86Z02_WT	SD	-		0.1937486936311989	0.07378025596864586	0.09474353512804803	0.08486251286955258	0.18257418583505539	0.03670296225124791	0.18257418583505539	0.04948482356080911	0.13688367294055007	0.13688367294055004
Q86Z02_WT	Test set	17:57		0.1535850992821558	0.7702702702702703	0.5412796697626419	0.9649122807017544	0.11764705882352941	0.7857142857142857	0.5	0.8661417322834646	0.49742002063983487	0.5025799793601651
P41279_WT	Fold 1	14:9		0.6313453403451318	0.8260869565217391	0.7976190476190477	0.6666666666666666	0.9285714285714286	0.8571428571428571	0.8125	0.75	0.023809523809523798	0.9761904761904763
P41279_WT	Fold 2	14:9		0.7237925541034954	0.8695652173913043	0.8531746031746033	0.7777777777777778	0.9285714285714286	0.875	0.8666666666666667	0.823529411764706	0.05555555555555554	0.9444444444444444
P41279_WT	Fold 3	14:9		0.437732769305958	0.7391304347826086	0.7063492063492063	0.5555555555555556	0.8571428571428571	0.7142857142857143	0.75	0.6250000000000001	0.11111111111111112	0.8888888888888888
P41279_WT	Fold 4	13:9		0.528395949267478	0.7727272727272727	0.7393162393162394	0.5555555555555556	0.9230769230769231	0.8333333333333334	0.75	0.6666666666666667	0.2564102564102564	0.7435897435897435
P41279_WT	Fold 5	14:8		0.8280786712108251	0.9090909090909091	0.9285714285714286	1.0	0.8571428571428571	0.8	1.0	0.888888888888889	0.01785714285714285	0.9821428571428572
P41279_WT	Mean	-		0.6298690568465777	0.8233201581027668	0.805006105006105	0.711111111111111	0.8989010989010989	0.815952380952381	0.8358333333333334	0.7508169934640523	0.09294871794871794	0.9070512820512822
P41279_WT	SD	-		0.12604496454837935	0.05649547470152536	0.07267680066270757	0.15180667801421627	0.031178595514529943	0.051762218716648364	0.0848337153451342	0.08875322050879497	0.08048474854624178	0.08048474854624184
P41279_WT	Test set	15:12		-0.33149677206589795	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2857142857142857	0.38461538461538464	0.30769230769230765	0.4777777777777778	0.5222222222222223
P22612_WT		4:86	Not enough data in minority class of the training set for all 5 folds										
Q96BR1_WT		3:15	Not enough data in minority class of the training set for all 5 folds										
Q96BR1_WT	Fold 1	2:2		0.0	0.5	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.5	0.5
Q96BR1_WT	Fold 2	1:2		0.5	0.6666666666666666	0.75	0.5	1.0	1.0	0.5	0.6666666666666666	0.25	0.75
Q96BR1_WT	Fold 3	1:2		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	1.0	0.0
Q96BR1_WT	Fold 4	1:2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q96BR1_WT	Fold 5	1:2		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.0	1.0
Q96BR1_WT	Mean	-		0.3	0.7	0.65	0.9	0.4	0.7666666666666666	0.3	0.7866666666666667	0.35	0.65
Q96BR1_WT	SD	-		0.3651483716701107	0.14907119849998599	0.18257418583505536	0.1825741858350554	0.4472135954999579	0.18257418583505536	0.3651483716701107	0.11155467020454342	0.3415650255319866	0.3415650255319866
Q96BR1_WT	Test set	3:15		-0.31622776601683794	0.5	0.3	0.6	0.0	0.75	0.0	0.6666666666666665	0.711111111111111	0.2888888888888889
Q00534_WT		4:12	Not enough data in minority class of the training set for all 5 folds										
Q99558_WT		78:37	Not enough training data for temporal split at 2013										
P05771_WT	Fold 1	23:26		0.6531283133475068	0.8163265306122449	0.8068561872909699	0.9615384615384616	0.6521739130434783	0.7575757575757576	0.9375	0.8474576271186441	0.06856187290969899	0.931438127090301
P05771_WT	Fold 2	22:27		0.6289996953045751	0.8163265306122449	0.8080808080808081	0.8888888888888888	0.7272727272727273	0.8	0.8421052631578947	0.8421052631578948	0.10437710437710436	0.8956228956228957
P05771_WT	Fold 3	22:27		0.7571284874952731	0.8775510204081632	0.8804713804713804	0.8518518518518519	0.9090909090909091	0.92	0.8333333333333334	0.8846153846153846	0.042087542087542076	0.9579124579124579
P05771_WT	Fold 4	22:27		0.7525252525252525	0.8775510204081632	0.8762626262626263	0.8888888888888888	0.8636363636363636	0.8888888888888888	0.8636363636363636	0.8888888888888888	0.03872053872053872	0.9612794612794612
P05771_WT	Fold 5	22:27		0.79358044421255	0.8979591836734694	0.8947811447811448	0.9259259259259259	0.8636363636363636	0.8928571428571429	0.9047619047619048	0.9090909090909091	0.037037037037037014	0.962962962962963
P05771_WT	Mean	-		0.7170724385770315	0.8571428571428571	0.8532904293773859	0.9034188034188034	0.8031620553359684	0.8518643578643579	0.8762673729778994	0.8744316145743442	0.058156819026384234	0.9418431809736157
P05771_WT	SD	-		0.05853848201114862	0.031173984319427472	0.03461226683500124	0.03407308945462714	0.08859252716179998	0.05667736439613418	0.0358963713536586	0.02340433593874153	0.023546463885117424	0.02354646388511741
P05771_WT	Test set	250:40		0.04338697467824863	0.20344827586206896	0.517	0.95	0.084	0.14232209737827714	0.9130434782608695	0.247557003257329	0.7578	0.24219999999999997
P25098_WT	Fold 1	14:7		0.4287464628562721	0.7619047619047619	0.6785714285714286	0.42857142857142855	0.9285714285714286	0.75	0.7647058823529411	0.5454545454545454	0.163265306122449	0.8367346938775511
P25098_WT	Fold 2	14:7		0.408248290463863	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.5555555555555556	0.8333333333333334	0.6250000000000001	0.16326530612244897	0.8367346938775511
P25098_WT	Fold 3	14:7		0.6859943405700354	0.8571428571428571	0.7857142857142857	0.5714285714285714	1.0	1.0	0.8235294117647058	0.7272727272727273	0.1530612244897959	0.8469387755102041
P25098_WT	Fold 4	13:7		0.6847367880174606	0.85	0.8516483516483516	0.8571428571428571	0.8461538461538461	0.75	0.9166666666666666	0.7999999999999999	0.12087912087912084	0.8791208791208791
P25098_WT	Fold 5	13:7		0.5604395604395604	0.8	0.7802197802197802	0.7142857142857143	0.8461538461538461	0.7142857142857143	0.8461538461538461	0.7142857142857143	0.19780219780219777	0.8021978021978022
P25098_WT	Mean	-		0.5536330884694383	0.7966666666666666	0.762087912087912	0.6571428571428571	0.867032967032967	0.753968253968254	0.8368778280542987	0.6824025974025975	0.1596546310832025	0.8403453689167975
P25098_WT	SD	-		0.10915388060108921	0.04917305581301021	0.055027410806831996	0.13299276232160895	0.08724564239718005	0.13006755743433707	0.04444441600748916	0.08052829514662471	0.02246598909889899	0.02246598909889897
P25098_WT	Test set	70:124		0.16083691622377824	0.4484536082474227	0.5561059907834102	0.1693548387096774	0.9428571428571428	0.84	0.3905325443786982	0.28187919463087246	0.46169354838709675	0.538306451612903
Q13315_WT	Fold 1	2:175		0.4942857142857143	0.9887005649717514	0.7471428571428571	0.9942857142857143	0.5	0.9942857142857143	0.5	0.9942857142857143	0.005714285714285714	0.9942857142857143
